Name,Address,City,Province,Postal Code,Phone,Discipline,Centre Type,Association,URL,Language,Email,Established,Longitude,Latitude
"Other Sights For Artists' Projects Association","-","Vancouver","British Columbia","-","604-254-5598","Interdisciplinary, Media and Digital Arts, Publications and Publishing, Sound Art and Music, Visual Arts","No Fixed Location","Pacific Association of Artist-Run Centres (PAARC)","https://othersights.ca/","EN","sunshine@othersights.ca","","-123.113952","49.2608724"
"Oxygen Art Centre","3-320 Vernon Street","Nelson","British Columbia","V1L 4E4","250-352-6322","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Pacific Association of Artist-Run Centres (PAARC)","https://oxygenartcentre.org/","EN","info@oxygenartcentre.org","","-117.2983034","49.4913379"
"Panache Art Actuel","410, avenue Évangeline","Sept-Îles","Québec","G4R 2N5","418-218-1685","Visual Arts","No Fixed Location, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.panacheartactuel.com/","FR","info@panacheartactuel.com","","-66.3790642","50.2109579"
"Perte De Signal","5445, avenue De Gaspé, espace 107","Montréal","Québec","H2T 3B3","514-273-4813","Media and Digital Arts, Sound Art and Music","Artists' Residencies, Distribution Centre, Exhibition Centre, Information Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://perte-de-signal.org/","FR","info@perte-de-signal.org","","-73.5737184","45.5520355"
"Platform Centre for Photographic + Digital Arts","121-100 Arthur Street","Winnipeg","Manitoba","R3B 1H3","204-942-8183","Film/Video, Interdisciplinary, Media and Digital Arts, Publications and Publishing, Visual Arts","Exhibition Centre, Information Centre, Production Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://platformgallery.org/","EN","admin@platformgallery.org","","-97.140746","49.8976765"
"Praxis Art Actuel","37, rue Turgeon","Sainte-Thérèse","Québec","J7E 1X1","450-434-7648","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","-","FR","-","","-75.7505235","45.4219715"
"Productions Réalisations Indépendantes de Montréal - PRIM","2180, rue Fullum","Montréal","Québec","H2K 3N9","514-524-2421","Film/Video, Media and Digital Arts, Sound Art and Music","Artists' Residencies, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://primcentre.org/","FR","info@primcentre.org","","-73.5698065","45.5031824"
"Project Space","2-236 East Pender Street","Vancouver","British Columbia","V6A 1T7","-","Interdisciplinary, Publications and Publishing, Visual Arts","Publisher","Pacific Association of Artist-Run Centres (PAARC)","-","-","-","","-123.0985279","49.2803706"
"Regart, Centre D'Artistes en Art Actuel","6018 Rue Saint-Laurent","Lévis","Québec","G6V 3P4","418-837-4099","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Printmaking, Sound Art and Music, Visual Arts","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.centreregart.org/","FR","info@centreregart.org","","-71.1859075","46.8123013"
"Sans-Atelier","209 Avenue D South","Saskatoon","Saskatchewan","S7M 1P8","-","Crafts, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Visual Arts","Production Centre","Association des Groupes en Arts Visuels Francophones (AGAVF)","https://sans-atelier.com/","FR","sans-atelier@gmail.com","","-106.675603","52.1275581"
"Spira","541, rue Saint-Vallier Est, 4e étage","Québec","Québec","G1K 3P9","418-523-1275","Media and Digital Arts, Visual Arts","Artists' Residencies, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.spira.quebec/","FR","info@spira.quebec","","-71.2084061","46.8137431"
"Sporobole","74, rue Albert","Sherbrooke","Québec","J1H 1M9","819-821-2326","Interdisciplinary, Media and Digital Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://sporobole.org/","FR","info@sporobole.org","","-71.889038","45.403271"
"St. Michael's Printshop","72 Harbour Drive, 2nd Floor, P.O. Box 193, Station C","St. John's","Newfoundland and Labrador","A1C 5J2","709-754-2931","Interdisciplinary, Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://www.stmichaelsprintshop.com/","EN","stmichaelsprintshop@gmail.com","","-52.7057111","47.5644649"
"Stride Gallery","625 11 Avenue SW, Unit 220","Calgary","Alberta","T2R 0E1","403-262-8507","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Alberta Association of Artist-Run Centres (AAARC)","https://www.stride.ab.ca/","EN","EVA@STRIDE.AB.CA","","-114.075425","51.0424986"
"Struts Gallery & Faucet Media Arts Centre","7 Lorne Street","Sackville","New Brunswick","E4L 3Z6","506-536-1211","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre","Association of Artist-Run Centres From the Atlantic (AARCA), Independent Media Arts Alliance (IMAA)","https://www.strutsgallery.ca/","EN","info@strutsgallery.ca","","-64.3666768","45.8967213"
"The Arbour Collective","31-1595 Summit Drive","Kamloops","British Columbia","V2E 1E9","778-471-1184","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location","Aboriginal Region, Pacific Association of Artist-Run Centres (PAARC)","-","-","-","","-120.3401404","50.6561529"
"The Indigenous Peoples' Artist Collective of Prince Albert INC. (IPAC)","1010 Central Avenue","Prince Albert","Saskatchewan","S6V 4V5","306-763-8023","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Distribution Centre, Exhibition Centre, Information Centre, Production Centre","Aboriginal Region, Plains Artist-Run Centres Association (PARCA)","-","-","-","","-105.7537847","53.2037045"
"The New Gallery","208 Centre Street S","Calgary","Alberta","T2G 2B6","403-233-2399","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre, Publisher","Alberta Association of Artist-Run Centres (AAARC)","https://thenewgallery.org/","EN","info@TheNewGallery.org","","-114.0626697","51.0507531"
"This Town is Small INC.","115 Richmond Street","Charlottetown","Prince Edward Island","C1A 1H7","902-314-0772","Interdisciplinary, Visual Arts","Artists' Residencies, No Fixed Location, Exhibition Centre, Production Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://www.thistownissmall.com/","EN","info@thistownissmall.com","","-63.1275","46.2334689"
"Trap\Door Artist Run Centre","-","Lethbridge","Alberta","-","-","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Visual Arts","No Fixed Location","Alberta Association of Artist-Run Centres (AAARC)","https://trapdoorarc.org/","EN","trapdoorlethbridge@gmail.com","","-112.8331033","49.6945782"
"UNIT/PITT","2954 West 4th Ave","Vancouver","British Columbia","V6K1R4","604-974-8689","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://www.unitpitt.ca/","EN","info@unitpitt.ca","","-123.1714674","49.2681413"
"VASA Gallery and Studios","25 Sir Winston Churchill Ave","St. Albert","Alberta","T8N 2S7","780-460-5990","Interdisciplinary, Visual Arts","Exhibition Centre, Production Centre","Alberta Association of Artist-Run Centres (AAARC)","https://vasa-art.com/","EN","-","","-113.6284635","53.6303171"
"Verticale - Centre D'Artistes","412 - 397, boulevard des Prairies Ouest","Laval","Québec","H7N 2W6","450-934-6042","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music","Artists' Residencies, No Fixed Location, Exhibition Centre, Production Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://verticale.ca/","FR","info@verticale.ca","","-73.7100119","45.545857"
"Vidéo Femmes","291, rue Saint-Vallier Est, bureau 103","Québec","Québec","G1K 3P5","418-529-9188","Film/Video","Artists' Residencies, Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","-","-","-","","-74.533456","46.112691"
"Video Pool Media Arts Centre","221-100 Arthur Street","Winnipeg","Manitoba","R3B 1H3","204-949-9134","Film/Video, Interdisciplinary, Media and Digital Arts, Sound Art and Music","Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Manitoba Artist-Run Centres Coalition (MARCC)","https://videopool.org/","EN","info@videopool.org","","-97.140746","49.8976765"
"Vidéographe","4550 rue Garnier","Montréal","Québec","H2J 3S7","514-521-2116","Film/Video, Media and Digital Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.videographe.org/","FR","info@videographe.org","","-73.5775809","45.5311577"
"VIVA! Art Action","-","Montréal","Québec","-","-","Performance and Live Arts","No Fixed Location, Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://vivamontreal.org/","FR","info@vivamontreal.org","","-73.5698065","45.5031824"
"VIVO Media Arts Centre","2625 Kaslo Street","Vancouver","British Columbia","V5M 3G9","604-872-8337","Film/Video, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Distribution Centre, Exhibition Centre, Information Centre, Production Centre","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://www.vivomediaarts.com/","EN","info@vivomediaarts.com","","-123.0470862","49.2527814"
"Void Gallery","312 Avenue B South","Saskatoon","Saskatchewan","S7M 1M6","306-850-6545","Interdisciplinary, Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Production Centre, Publisher","Plains Artist-Run Centres Association (PARCA)","-","EN","-","","-106.6715957","52.1255665"
"VOX, Centre de L'Image Contemporaine","2, rue Sainte-Catherine Est, 4th floor","Montréal","Québec","H2X 1K4","514-390-0382","Film/Video, Interdisciplinary, Media and Digital Arts, Publications and Publishing","Exhibition Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://centrevox.ca/","FR/EN","info@centrevox.ca","","-73.5634264","45.5099901"
"VU, Centre de Diffusion et de Production de la Photographie","580, Côte d’Abraham","Québec","Québec","G1K 3P9","418-640-2585","Film/Video, Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://vuphoto.org/fr/","FR","info@vuphoto.org","","-71.2084061","46.8137431"
"Western Front Society","303 East 8th Avenue","Vancouver","British Columbia","V5T 1S1","604-876-9343","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://westernfront.ca/","EN","info@westernfront.ca","","-123.0986846","49.2638614"
"Winnipeg Film Group","304-100 Arthur Street","Winnipeg","Manitoba","R3B 1H3","204-925-3456","Film/Video, Media and Digital Arts, Performance and Live Arts, Sound Art and Music","Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Manitoba Artist-Run Centres Coalition (MARCC)","https://www.winnipegfilmgroup.com/","EN","info@winnipegfilmgroup.com","","-97.140746","49.8976765"
"Xchanges Artists' Gallery and Studios","2333 Government Street, Suite 6E","Victoria","British Columbia","V8T 4P4","1-250-382-0442","Crafts, Media and Digital Arts, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre","Pacific Association of Artist-Run Centres (PAARC)","info@xchangesgallery.org","EN","http://www.xchangesgallery.org","","-123.3664526","48.4347074"
"Yellowknife Artist Run Community Centre","4913 50th Street","Yellowknife","Northwest Territories","X1A3X7","867-446-9099","Interdisciplinary, Visual Arts","Artists' Residencies, Exhibition Centre","Alberta Association of Artist-Run Centres (AAARC)","https://ykarcc.wordpress.com/","EN","ykarcc@gmail.com","","-114.3728786","62.4548032"
"Zocalo, Centre D'Artistes en Art Imprimé","80, rue Saint-Jean","Longueuil","Québec","J4H 2W9","450-679-5341","Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://zocaloweb.org/","FR","info@zocaloweb.org","","-73.4644578","45.521906"
"221A Artist-Run Society","700-825 Pacific St.","Vancouver","British Columbia","V6Z 1C3","604-568-0812","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://221a.ca/","EN","hello@221a.ca","","-123.10108114917603","49.268556187629954"
"AdMare Centre D'Artistes en Art Actuel des Îles-De-La-Madelaine","1349-1 chemin de Lavernière","L'Étang-du-Nord","Québec","G4T 3G1","418-986-3083","Visual Arts","Artists' Residencies, Publisher","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://www.admare.org/","FR","laurene@admare.org","","-61.90853248456755","47.37138274530913"
"Alberta Printmakers","4025 4th Street Southeast","Calgary","Alberta","T2G 2W4","403-287-1056","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Alberta Association of Artist-Run Centres (AAARC)","https://albertaprintmakers.com/","EN","director@albertaprintmakers.ca","","-114.0527126439642","51.017510558993536"
"Art Metropole","896 College St","Toronto","Ontaria","M6H 1A4","416-703-4400","Film/Video, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Distribution Centre, Exhibition Centre, Information Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://artmetropole.com/","EN","info@artmetropole.com","","-79.42564241801256","43.65407924668184"
"Artcite Inc","109 University Avenue West","Windsor","Ontaria","N9A 5P4","519-977-6564","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","-","-","-","","-83.04019847436993","42.31764478867348"
"ArtsSpace","3-378 Aylmer Street North","Peterborough","Ontaria","K9J 7X6","705-748-3883","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","artspace-arc.org","EN","gallery@artspaceptbo.ca","","-78.32314584497759","44.30532039474567"
"Atelier D'estampe Imago Inc","Centre culturel Aberdeen, 140, rue Botsford, local 17","Moncton","New Brunswick","E1C 4X5","506-388-1431","Media and Digital Arts, Printmaking","Artists' Residencies, Production Centre","Association des Groupes en Arts Visuels Francophones (AGAVF), Association of Artist-Run Centres From the Atlantic (AARCA)","https://www.atelierimago.com/","FR","direction@atelierimago.com","","-64.77792458170032","46.09342415753265"
"Available Light Screening Collective","2 Daly Avenue, Suite 121","Ottawa","Ontaria","K1N 6E2","613-883-1801","Film/Video","No Fixed Location","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","-","EN","availablelightcollective@gmail.com","","-75.68864559271157","45.42544936931015"
"Avatar","541 de Saint-Vallier Est, espace 5-62","Québec","Québec","G1K 3P9","418-522-8918","Media and Digital Arts, Publications and Publishing, Sound Art and Music","Artists' Residencies, Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://avatarquebec.org/en/home/","FR","direction@avatarquebec.org","","-71.2212437209731","46.81287261277676"
"CAFKA - Contemporary Art Forum Kitchener and Area","141 Whitney Place, Studio 7","Kitchener","Ontaria","N2G 2X8","519-744-5123","Visual Arts","No Fixed Location","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.cafka.org/","EN","cafka@cafka.org","","-80.48841645984027","43.44129648475911"
"Centre3 for Print and Media Arts","173 James Street North","Hamilton","Ontaria","L8R 2K9","905-524-5084","Media and Digital Arts, Printmaking","Exhibition Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://centre3.com/","EN","info@centre3.com","","-79.86731296462044","43.26121930401962"
"Charles Street Video","76 Geary Ave","Toronto","Ontaria","M6H 2B5","416-603-6564","Film/Video","Artists' Residencies, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://charlesstreetvideo.com","EN","csv@charlesstreetvideo.com","","-79.4329538735275","43.670958878779196"
"Cineworks Independent Filmmakers' Society","300-1131 Howe Street","Vancouver","British Columbia","V6Z 2L7","604-685-3841","Film/Video, Media and Digital Arts","Artists' Residencies, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://www.cineworks.ca/","EN","info@cineworks.ca","","-123.12663142598598","49.27873637672724"
"Connexion ARC (Artist-Run Centre for Contemporary Art)","732 Charlotte Street - Room 133 (Level 1)","Fredericton","New Brunswick","E3B 1C2","1-506-262-1367","Visual Arts","Artists' Residencies, Exhibition Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://connexionarc.org/","EN","director@connexionarc.org","","-66.63919494040991","45.95593667798666"
"Definitely Superior Artist-Run Centre + Gallery","115 Cumberland Street North, P.O. Box 21015, Grandview Mall","Thunder Bay","Ontaria","P7A 4K9","1-807-344-3814","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Information Centre, Production Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","http://www.definitelysuperior.com/","EN","defsup@tbaytel.net","","-89.21540964832201","48.43848124911554"
"Digital Arts Resource Centre","67 Nicholas Street","Ottawa","Ontaria","K1N 7B9","613-238-7648","Media and Digital Arts","Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://digitalartsresourcecentre.ca/","EN","admin@digitalartsresourcecentre.ca","","-75.68868361878238","45.42522575063477"
"Ed Video Media Arts Centre","46 Essex Street","Guelph","Ontaria","N1H 3K8","519-836-9811","Film/Video, Media and Digital Arts","Exhibition Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://edvideo.org/","EN","sarafina@edvideo.org","","-80.24921610387791","43.540741110001186"
"Espace F","102-520, avenue Saint-Jérôme","Matane","Québec","G4W 3B5","418-562-8661","Media and Digital Arts, Visual Arts","Exhibition Centre, Production Centre","Regroupement des Centres d'Artistes Autogérés du Québec (RCAAQ)","https://espacesf.org/","FR","info@espacesf.org","","-67.52977670001303","48.84857684408474"
"Factory Media Centre","1-366 Victoria Avenue North","Hamilton","Ontaria","L8L 5G6","905-577-9191","Film/Video, Media and Digital Arts","Exhibition Centre, Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://www.factorymediacentre.ca/","EN","info@factorymediacentre.ca","","-79.85168711802638","43.26399787804866"
"FADO Performance INC. (FADO Performance Art Centre)","445-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","416-822-3219","Performance and Live Arts","No Fixed Location","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://performanceart.ca/","EN","info@performanceart.ca","","-79.39506825370898","43.64764015633532"
"Forest City Gallery","1025 Elias Street","London","Ontaria","N5W 3P6","226-289-4025","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Sound Art and Music, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.forestcitygallery.com/","EN","info@forestcitygallery.com","","-81.21691463793701","42.99847678714609"
"Galerie du Nouvel-Ontario","27, rue Larch","Sudbury","Ontaria","P3E 1B7","705-673-4927","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Association des Groupes en Arts Visuels Francophones (AGAVF)","https://gn-o.org/","FR/EN","info@gn-o.org","","-80.99547485839102","46.49136255895496"
"Gallery 101/Gallerie 101 - Arists' Centre D'Artistes INC. (G101)","280 Catherine Street","Ottawa","Ontaria","K1R 5T3","613-230-2799","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://g101.ca/","FR/EN","office@g101.ca","","-75.69466844678419","45.408243353974996"
"Gallery 1313","1313 Queen Street West","Toronto","Ontaria","M6K 1L8","416-536-6778","Film/Video, Media and Digital Arts, Visual Arts","Exhibition Centre, Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://gallery1313.org/","EN","director@g1313.org","","-79.43347846034251","43.641272504584464"
"Gallery 44","120-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","416-979-3941","Visual Arts","Exhibition Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.gallery44.org/","EN","alana@gallery44.org","","-79.39457914500107","43.64801192769348"
"Gallery TPW","170 St Helens Avenue","Toronto","Ontaria","M6H 4A1","416-645-1066","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.gallerytpw.ca/","EN","info@gallerytpw.ca","","-79.44263266218898","43.65414709672453"
"Grunt Gallery","116-350 East 2nd Avenue","Vancouver","British Columbia","V5T 4R8","604-875-9516","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Visual Arts","Exhibition Centre, Information Centre, Publisher","Pacific Association of Artist-Run Centres (PAARC)","https://grunt.ca/","EN","arlo@grunt.ca","","-123.09709274478942","49.26701098845296"
"Hamilton Artists INC.","155 James Street North","Hamilton","Ontaria","L8P 4W9","905-529-3355","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Information Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.theinc.ca/","EN","info@theinc.ca","","-79.8674763296737","43.26105500806238"
"Harcourt House Artist Run Centre","10215 112th Street, 3rd Floor","Edmonton","Alberta","T5K 1M7","780-426-4180","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Alberta Association of Artist-Run Centres (AAARC)","https://harcourthouse.ab.ca/","EN","info@harcourthouse.ab.ca","","-113.5136683734488","53.543416499816026"
"ImagineNATIVE Film + Media Arts Festival","401 Richmond Street West, Suite 446","Toronto","Ontaria","M5V 3A8","416-585-2333","Film/Video, Media and Digital Arts","Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://imaginenative.org/","EN","info@imagineNATIVE.org","","-79.39492131616583","43.64791631122125"
"Indigenous Curatorial Collective/Collectif Des Commisairs Autochtones","264 – 401 Richmond Street West","Toronto","Ontaria","M5V 3A8","-","Visual Arts","Information Centre","Aboriginal Region","https://icca.art","EN","info@icca.art","","-79.39461021777488","43.6483738547911"
"Le Centre D'Artistes Voix Visuelle","67, avenue Beechwood, 2e étage","Ottawa","Ontaria","K1M 1L8","613-748-6954","Media and Digital Arts, Printmaking, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Association des Groupes en Arts Visuels Francophones (AGAVF)","https://voixvisuelle.ca/fr/","FR/EN","-","","-75.66001873328896","45.43729038044352"
"Le Laboratoire D'Art - Le Labo INC.","277-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","(647) 352-4411","Film/Video, Interdisciplinary, Media and Digital Arts, Sound Art and Music","Exhibition Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Association des Groupes en Arts Visuels Francophones (AGAVF), Independent Media Arts Alliance (IMAA)","http://lelabo.ca/fr/","FR/EN","info@lelabo.ca","","-79.39506980267167","43.6478029649467"
"Livedspace","700-825 Pacific St.","Vancouver","British Columbia","V6Z 1C3","604-537-1636","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Publisher","Pacific Association of Artist-Run Centres (PAARC)","-","EN","livedspace@livedspace.org","","-123.1305774571775","49.27636468237051"
"L'Atelier D'Estampe la Manivelle et le Trécarré (Le Conseil des Arts de la Baie)","Université Sainte-Anne, boîte 232, 1695, Route 1","Pointe-de-l'Église","Nova Scotia","B0W 1M0","902-769-2114","Printmaking, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Association des Groupes en Arts Visuels Francophones (AGAVF), Association of Artist-Run Centres From the Atlantic (AARCA)","https://artdelabaie.blogspot.com/","FR","cab@usainteanne.ca","","-66.11793937401366","44.33098038010231"
"Mentoring Artists for Women's Art (MAWA)","203 - 329 Cumberland Ave","Winnipeg","Manitoba","R3B 1T2","204-949-9490","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre","Manitoba Artist-Run Centres Coalition (MARCC)","https://mawa.ca/","EN","info@mawa.ca","","-97.14541251777597","49.896466639647656"
"Mercer Union, A Centre for Contemporary Art","1286 Bloor Street West","Toronto","Ontaria","M6H 1N9","416-536-1519","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.mercerunion.org/","EN","office@mercerunion.org","","-79.44201896034185","43.65890604757986"
"Ministry of Casual Living","780 Blanshard S","Victoria","British Columbia","V8W 2H1","-","Interdisciplinary, Visual Arts","No Fixed Location, Exhibition Centre, Production Centre","Pacific Association of Artist-Run Centres (PAARC)","https://ministryofcasualliving.ca/","EN","ministryofcasualliving@gmail.com","","-123.36339314297582","48.42187395436318"
"Modern Fuel Artist-Run Centre","#305-370 King St. W","Kingston","Ontaria","K7L 2X4","613-548-4883","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Distribution Centre, Exhibition Centre, Information Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.modernfuel.org/","EN","director@modernfuel.org","","-76.50597188915692","44.22086820456915"
